Age group,Male,Female
<1 year,63.7,68.44
1-4 years,65.07,69.52
5-9 years,61.87,66.28
10-14 years,57.2,61.61
15-19  years,52.5,56.83
20-24 years,47.9,52.12
25-29 years,43.37,47.47
30-34 years,38.85,42.96
35-39 years,34.46,38.61
40-44 years,30.29,34.44
45-49 years,26.38,30.44
50-54 years,22.7,26.59
55-59 years,19.24,22.82
60-64 years,15.99,19.09
65-69 years,13.02,15.54
70-74 years,10.33,12.24
75-79 years,8.01,9.37
80-84 years,6.03,6.97
85+ years,4.42,5.07
