Age group,Male,Female
<1 year,71.18,74.26
1-4 years,71.69,74.53
5-9 years,68.04,70.85
10-14 years,63.36,66.15
15-19  years,58.76,61.44
20-24 years,54.01,56.57
25-29 years,49.26,51.72
30-34 years,44.53,46.89
35-39 years,39.8,42.08
40-44 years,35.11,37.3
45-49 years,30.52,32.56
50-54 years,26.13,27.97
55-59 years,22.02,23.54
60-64 years,18.22,19.28
65-69 years,14.87,15.36
70-74 years,11.79,11.75
75-79 years,9.04,8.47
80-84 years,6.58,5.59
85+ years,4.54,3.23
