Age group,Male,Female
<1 year,67.4,73.6
1-4 years,68.2,74.14
5-9 years,64.62,70.53
10-14 years,59.75,65.65
15-19  years,54.88,60.76
20-24 years,50.1,55.92
25-29 years,45.43,51.11
30-34 years,40.81,46.34
35-39 years,36.32,41.61
40-44 years,31.85,36.93
45-49 years,27.57,32.39
50-54 years,23.43,27.95
55-59 years,19.56,23.68
60-64 years,15.84,19.57
65-69 years,12.59,15.71
70-74 years,9.92,12.19
75-79 years,7.26,8.74
80-84 years,4.75,5.41
85+ years,1.77,2.44
