Age Group,Male,Female
<1 year,79.79,82.99
1-4 years,79.12,82.28
5-9 years,75.17,78.32
10-14 years,70.2,73.34
15-19  years,65.23,68.37
20-24 years,60.3,63.42
25-29 years,55.43,58.48
30-34 years,50.58,53.55
35-39 years,45.76,48.66
40-44 years,40.99,43.82
45-49 years,36.33,39.03
50-54 years,31.76,34.33
55-59 years,27.27,29.71
60-64 years,22.96,25.23
65-69 years,18.91,20.93
70-74 years,15.04,16.77
75-79 years,11.54,12.92
80-84 years,8.41,9.36
85+ years,5.7,6.27
