Age group,Male,Female
<1 year,59.6,61.9
1-4 years,64.21,65.89
5-9 years,62.27,63.88
10-14 years,58.12,59.7
15-19  years,53.6,55.13
20-24 years,48.99,50.48
25-29 years,44.47,45.96
30-34 years,40.01,41.54
35-39 years,35.66,37.2
40-44 years,31.44,32.95
45-49 years,27.42,28.82
50-54 years,23.53,24.79
55-59 years,19.88,21
60-64 years,16.43,17.44
65-69 years,13.38,14.23
70-74 years,10.63,11.29
75-79 years,8.33,8.85
80-84 years,6.31,6.74
85+ years,4.73,5.11
