Age group,Male,Female
<1 year,80.4,84.05
1-4 years,79.75,83.38
5-9 years,75.8,79.42
10-14 years,70.83,74.44
15-19  years,65.87,69.48
20-24 years,61,64.55
25-29 years,56.2,59.65
30-34 years,51.46,54.76
35-39 years,46.73,49.89
40-44 years,41.98,45.03
45-49 years,37.26,40.22
50-54 years,32.65,35.49
55-59 years,28.14,30.86
60-64 years,23.84,26.38
65-69 years,19.78,22.05
70-74 years,15.93,17.89
75-79 years,12.39,13.97
80-84 years,9.22,10.36
85+ years,6.61,7.16
