Age group,Male,Female
<1 year,62.2,68.29
1-4 years,63.14,69.08
5-9 years,59.62,65.52
10-14 years,54.78,60.66
15-19  years,49.95,55.81
20-24 years,45.34,51.17
25-29 years,41.02,46.82
30-34 years,37.08,42.81
35-39 years,33.53,39.1
40-44 years,30.18,35.44
45-49 years,26.91,31.76
50-54 years,23.62,27.99
55-59 years,20.45,24.24
60-64 years,17.34,20.52
65-69 years,14.44,16.95
70-74 years,11.76,13.6
75-79 years,9.11,10.43
80-84 years,6.61,7.41
85+ years,4.63,5.11
