3566547.43388949,3601549.19750241,147236.793833644,24437203.0470159,2466234.29100403,31953.3044104445,32266.8911573916,1319.11945123174,218937.053936666,22095.4120220375,31953.3044104445,32266.8911573916,1319.11945123174,218937.053936666,22095.4120220375,31953.3044104445,32266.8911573916,1319.11945123174,218937.053936666,22095.4120220375,31953.3044104445,32266.8911573916,1319.11945123174,218937.053936666,22095.4120220375,31953.3044104445,32266.8911573916,1319.11945123174,218937.053936666,22095.4120220375,31953.3044104445,32266.8911573916,1319.11945123174,218937.053936666,22095.4120220375,1675744.09533467
3143554.0766718,3174404.62295939,129774.475755978,21538945.0679835,2173738.32907608,28163.6350572929,28440.0303429378,1162.67157675635,192971.068293507,19474.8910045679,28163.6350572929,28440.0303429378,1162.67157675635,192971.068293507,19474.8910045679,28163.6350572929,28440.0303429378,1162.67157675635,192971.068293507,19474.8910045679,28163.6350572929,28440.0303429378,1162.67157675635,192971.068293507,19474.8910045679,28163.6350572929,28440.0303429378,1162.67157675635,192971.068293507,19474.8910045679,28163.6350572929,28440.0303429378,1162.67157675635,192971.068293507,19474.8910045679,1477000.45491985
2710498.15880679,2737098.7347381,111896.747763,18571740.623982,1874284.20029804,24283.8135136902,24522.1325928506,1002.50197427226,166387.379556804,16792.0305881079,24283.8135136902,24522.1325928506,1002.50197427226,166387.379556804,16792.0305881079,24283.8135136902,24522.1325928506,1002.50197427226,166387.379556804,16792.0305881079,24283.8135136902,24522.1325928506,1002.50197427226,166387.379556804,16792.0305881079,24283.8135136902,24522.1325928506,1002.50197427226,166387.379556804,16792.0305881079,24283.8135136902,24522.1325928506,1002.50197427226,166387.379556804,16792.0305881079,1273528.91535291
2302516.88438619,2325113.57017151,95054.1693581633,15776342.1532756,1592168.95363039,20628.6399608446,20831.087507933,851.60645281844,141342.92972439,14264.5121623209,20628.6399608446,20831.087507933,851.60645281844,141342.92972439,14264.5121623209,20628.6399608446,20831.087507933,851.60645281844,141342.92972439,14264.5121623209,20628.6399608446,20831.087507933,851.60645281844,141342.92972439,14264.5121623209,20628.6399608446,20831.087507933,851.60645281844,141342.92972439,14264.5121623209,20628.6399608446,20831.087507933,851.60645281844,141342.92972439,14264.5121623209,1081838.70954738
1898783.5671167,1917418.051811,78386.95819654,13010049.7559808,1312991.12971878,17011.5245778362,17178.4740921791,702.282076291164,116559.24614874,11763.3106060682,17011.5245778362,17178.4740921791,702.282076291164,116559.24614874,11763.3106060682,17011.5245778362,17178.4740921791,702.282076291164,116559.24614874,11763.3106060682,17011.5245778362,17178.4740921791,702.282076291164,116559.24614874,11763.3106060682,17011.5245778362,17178.4740921791,702.282076291164,116559.24614874,11763.3106060682,17011.5245778362,17178.4740921791,702.282076291164,116559.24614874,11763.3106060682,892144.408533583
1587752.66958606,1603334.72608377,65546.7554557987,10878934.0655993,1097916.16456815,14224.9459232487,14364.5482147761,587.244518408667,97466.2186057497,9836.41745241988,14224.9459232487,14364.5482147761,587.244518408667,97466.2186057497,9836.41745241988,14224.9459232487,14364.5482147761,587.244518408667,97466.2186057497,9836.41745241988,14224.9459232487,14364.5482147761,587.244518408667,97466.2186057497,9836.41745241988,14224.9459232487,14364.5482147761,587.244518408667,97466.2186057497,9836.41745241988,14224.9459232487,14364.5482147761,587.244518408667,97466.2186057497,9836.41745241988,746006.385791739
1370816.81302889,1384269.88127924,56591.0523341944,9392537.01827762,947907.042775491,12281.3807273268,12401.9090514348,507.008852583773,84149.3349225123,8492.46024398957,12281.3807273268,12401.9090514348,507.008852583773,84149.3349225123,8492.46024398957,12281.3807273268,12401.9090514348,507.008852583773,84149.3349225123,8492.46024398957,12281.3807273268,12401.9090514348,507.008852583773,84149.3349225123,8492.46024398957,12281.3807273268,12401.9090514348,507.008852583773,84149.3349225123,8492.46024398957,12281.3807273268,12401.9090514348,507.008852583773,84149.3349225123,8492.46024398957,644078.965105339
1189963.73903228,1201641.93209535,49124.9447711221,8153371.30609971,822848.828636586,10661.0873107674,10765.7142265242,440.118726447471,73047.4387750033,7372.04245634526,10661.0873107674,10765.7142265242,440.118726447471,73047.4387750033,7372.04245634526,10661.0873107674,10765.7142265242,440.118726447471,73047.4387750033,7372.04245634526,10661.0873107674,10765.7142265242,440.118726447471,73047.4387750033,7372.04245634526,10661.0873107674,10765.7142265242,440.118726447471,73047.4387750033,7372.04245634526,10661.0873107674,10765.7142265242,440.118726447471,73047.4387750033,7372.04245634526,559105.057848924
993986.348652826,1003741.23789934,41034.4642270605,6810577.0856106,687332.290759447,8905.29257413884,8992.68828423709,367.634736694599,61017.1172152302,6157.92676947902,8905.29257413884,8992.68828423709,367.634736694599,61017.1172152302,6157.92676947902,8905.29257413884,8992.68828423709,367.634736694599,61017.1172152302,6157.92676947902,8905.29257413884,8992.68828423709,367.634736694599,61017.1172152302,6157.92676947902,8905.29257413884,8992.68828423709,367.634736694599,61017.1172152302,6157.92676947902,8905.29257413884,8992.68828423709,367.634736694599,61017.1172152302,6157.92676947902,467024.982976815
796440.000000456,804256.187820363,32879.2128114363,5457032.70615173,550730.832867773,7135.44127377995,7205.46782841526,294.570453698939,48890.4831548137,4934.09109987653,7135.44127377995,7205.46782841526,294.570453698939,48890.4831548137,4934.09109987653,7135.44127377995,7205.46782841526,294.570453698939,48890.4831548137,4934.09109987653,7135.44127377995,7205.46782841526,294.570453698939,48890.4831548137,4934.09109987653,7135.44127377995,7205.46782841526,294.570453698939,48890.4831548137,4934.09109987653,7135.44127377995,7205.46782841526,294.570453698939,48890.4831548137,4934.09109987653,374207.732275589
